@relation sortaGarbia-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute Topic {twitter,google,apple,microsoft}
@attribute Sentiment {negative,positive,neutral,irrelevant}
@attribute TweetText string

@data
twitter,negative,'I feel all alone on twitter itstolate'
google,positive,'I want it too Now just wondering who will be carrying it in November Or direct purchase from google samsung'
apple,neutral,'Why didnt merge the address and search bars in Safari ala Crome in iOS simplethings'
twitter,positive,'Gotta love Twitter shit goes round the World like lightningonspeed'
twitter,neutral,'Twitter its been a pleasure but I have to go exercise and eat dinner Possibly be back b I sleep Well c I am BLESSED we all are'
apple,positive,'Incredible million iPhone Ss in days better than the iPhone iphones'
google,irrelevant,'RT Twitter milioni di cinguettii al giorno e un valore di miliardi di Tempi duri per Facebook e Google'
apple,neutral,'Video SIRI also gets angry apple siri iphoneS Ai'
apple,neutral,'Not Likely to Win Appstore Suit Case Against'
google,positive,'Register now for your Galaxy Nexus Android Google'
google,neutral,'On Google then go here GPlus Googleplus Google teamfollowback socialnetwork'
microsoft,negative,'When Microsoft violated US antitrust lawsleaving Netscape out of business Novell woundedit played dumb'
apple,negative,'if u need me just text me o wait u i wont get it cuz fucks me every time fuckingpissed'
google,neutral,'Android SDK now available google android'
microsoft,neutral,'Job ICT System Engineer mw planova human capital ag Luzern Microsoft IT'
microsoft,neutral,'Everything Can Be A Digital microsoft carnegiemellon'
google,neutral,'Apple stock DOWN despite iPhone monumental SALES ocuupy GOOGLE Verizoni smell a conspiracy'
google,neutral,'New Galaxy Nexus App Improvements New People App to improve contact information nexus samsung google android bitlynEJbyE'
microsoft,irrelevant,'Estava ali na MICROSOFT tomando um cafezinho D'
microsoft,neutral,'Check out our newly revamped Testimonials page for more information on how Microsoft Dynamics CRM can work for you'
microsoft,irrelevant,'malisimo el intento de google maps de microsoft'
twitter,neutral,'Goodnight everyone twitter off'
google,positive,'This Data Usage feature looks amazing on ICS android samsung google GALAXYNexus'
google,neutral,'Google search to have default encryption'
microsoft,neutral,'Watching this weeks episode of Hawaii FiveO Great use of Windows Phone SkyDrive Oh yeah a Dell Inspiron Duo was there too microsoft'
google,irrelevant,'AsiaClassifiedToday Point Park summit reflects Asian culture The Globe Point Park summit asia google ads'
apple,negative,'Hey the SMS full message is complete shit Yes Im annoyed'
twitter,irrelevant,'Visualiza tus emails menciones en twitter eventos de facebook y más desde Centro de notificaciones de IOS'
apple,neutral,'Follow me and I follow you'
twitter,irrelevant,'Ganun Di ba kasama ang wit lol RT Your Twitter followers either like you for your sense of humor or sex appeal'
twitter,negative,'stupid fucking Twitter Twitterapp give me my Damn mentions NOOWWWWWW UGH DRAWLIN AS ALWAYS TMW PROMOALLDAY FOLLOWLIMITISGAY TO'
apple,positive,'Loving my new iPhoneS thanks for ios'
google,neutral,'Calling All IceCreamSandwich Lovers Google Samsung Like in Hong Kong A new look at whats new from Android'
apple,neutral,'OH Sales guy Im not selling or using any products during my mourning period over Jobs passing hmmm'
twitter,irrelevant,'msn quase ninguem facebook parado geral despedindo twitter geral ralando S'
apple,negative,'u guys are gay'
microsoft,irrelevant,'Microsoft Technology Summit Rusza druga edycja programu Twoja firma Twoja szansa na sukces microsoft'
apple,neutral,'Win an iPod Touch from get the Hello World Baby Memories App PampersHelloApps'
microsoft,neutral,'Dear Microsoft seize the moment focus on developing Windows phones for enterprise solutions Succeed where RIM is failing'
google,irrelevant,'interface a voir en réel pour juger sinon ice cream sandwich est simplement monstrueux nexusprime google ICS'
twitter,neutral,'BE SLEEP N WHO NOEZ WHERE I BE BUT HOW ITs it U so called sleep but every sec u got a new twitter post up btfu'
google,positive,'RT Todays the Day ICS lt android google samsung'
google,neutral,'Google confirms Nexus S will get IceCreamSandwich for real this time Gingerbread devices too via'
apple,positive,'Love ios Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature lovemyiphone'
apple,positive,'you are so blessed'
twitter,neutral,'Welcome to Twitter'
twitter,irrelevant,'TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow'
google,negative,'google is really confusing'
twitter,neutral,'RT Now tuned in to with WorldWide Twitter Facebook join me RT'
google,neutral,'thats some tough competition right there TechWar Google Facebook Apple Amazon'
google,positive,'GReader Share Five Reasons Why Google is Winning the War in Photosharing photography fotografia google'
google,irrelevant,'Samsung Galaxy Nexus Google Android ICS galaxynexus galaxynexus'
apple,neutral,'RT Purdie Rogers tribute to SteveJobs and We spray painted the Macintosh Plus w'
microsoft,irrelevant,'Ja mooi he Lucinda dat doet Microsoft goed Blijk van waardering en daarmee verwachtingovertreffen'
microsoft,neutral,'Microsoft excludes tablets from its holiday advertising push'
google,irrelevant,'RT Prise de photo quasi instantannée ouaaaaaaahhhhh google nexusprime'
twitter,irrelevant,'ah bueno jeje ta bn ps aqui fb y twitter jeje x cierto ya no me sta siguiendo vdd ahorita vi mis seguidores y no sta'
